rank,channel_title,genre,saw_score,avg_view_count,avg_like_count,avg_comment_count,avg_watch_time,avg_engagement_rate,subscriber_count,top_video_titles,top_video_views,top_video_links
66,Garasi Drift,Otomotif,0.1537,367570,9243,610,180397.06,0.0286,2140000,"['Nemu JIMAT MISTIS di Opel Rekord | Kecowagon Diesel Ep. 2', 'Mobil Ini Mengandung KARAT 50%‼️ | Ep. 3 KCWGN']","[641942, 600175]","['https://www.youtube.com/watch?v=XEaX2ABuuTo', 'https://www.youtube.com/watch?v=4_xH2TexD2M']"
67,Lentera Malam,Podcast,0.1516,237036,5670,555,292379.3,0.0266,2690000,"['TERBONGKAR!! SUZZANA PERNAH DIVONIS MENINGGAL OLEH DOKTER TAPI HIDUP LAGI', 'SEBELUM UJI NYALI BANG JAMAL HARUS IKUT RITUAL SUZZANNA!! MAKAN MELATI & MANDI KEMBANG']","[710443, 531242]","['https://www.youtube.com/watch?v=gidcNbzixVQ', 'https://www.youtube.com/watch?v=MA_m12q2Fmc']"
68,Bestindotech,Techno,0.1487,12375,319,41,4178.59,0.0366,739000,"['HAMPIR SEJAM!! BIT MEGA UNBOXING EP. 24 🎁', 'COMEBACK Adu Kamera HP! Blind Test HUAWEI Pura 80 Ultra vs vivo X200 Ultra vs Samsung S25 Ultra 🔥']","[31131, 27780]","['https://www.youtube.com/watch?v=NO_qPJ2ZQnk', 'https://www.youtube.com/watch?v=gKqWUFEfzmA']"
69,Nex Carlos,Kuliner,0.1486,988260,15253,1205,268810.14,0.0168,5170000,"['MAKANAN GAK ADA OBAT INI BIKIN NEX PENGEN INVESTASI LAGI!!', 'JUAL MIE AYAM BAKSO CUMA 4 RIBU TAPI BISA BELI TANAH BUAT 6 ANAKNYA!!']","[1625158, 1256398]","['https://www.youtube.com/watch?v=5rovkuYxhLY', 'https://www.youtube.com/watch?v=HoARetLmjNM']"
70,Fitra Eri,Otomotif,0.1472,280045,5532,632,196792.16,0.027,3170000,"['BELI MOBIL LANGKA, MUNGIL TAPI BERMESIN RAKSASA', 'MOBIL MOBIL FAVORIT KAMI DI GIIAS 2025 | FEAT. OM MOBI']","[774987, 599458]","['https://www.youtube.com/watch?v=nhKGYYhqsFQ', 'https://www.youtube.com/watch?v=xzXKqQBs-nY']"
71,Makna Talks,Podcast,0.1471,34308,1000,69,32288.99,0.0357,187000,"['The new beginning for Rae Lil Black | Talks International', 'Pod. 314 Yandy Laurens TALKS ABOUT THE YANDY LAURENS WAY']","[104022, 98829]","['https://www.youtube.com/watch?v=dHxuSczMfUw', 'https://www.youtube.com/watch?v=b1tA0aeoTA0']"
72,Edukasi Dunia Satwa,Edukasi,0.1465,354257,2106,191,97915.24,0.0311,33000,"['Jepang Membawa Pembasmi Ular ke Pulau, 25 Tahun Kemudian, Semua Orang Terkejut!', '10 RAS AYAM PALING UNIK DAN MENAKJUBKAN DI DUNIA (2025)']","[2605154, 335782]","['https://www.youtube.com/watch?v=i4xYRtU-FXU', 'https://www.youtube.com/watch?v=H8SI7lEyj-s']"
73,Kios Komputer,Techno,0.1422,7766,250,26,1355.34,0.0352,584000,"['kali ini Mending laptop daripada RAKIT PC   |   Axioo Pongo 775 RTX 5070', 'boleh juga nih,, 5jt an uda dapat spek ganas gini.. Mini PC colorful Smart 300']","[13492, 11699]","['https://www.youtube.com/watch?v=MVE6DdTojA8', 'https://www.youtube.com/watch?v=SFgQi7lF6yM']"
74,Iwan Banaran,Otomotif,0.1409,103587,2396,897,36700.97,0.0322,1140000,"['MARQUEZ BALIK KE HONDA ⁉️ 😱 LINE UP MOTOGP 2026…SEJARAH MENCATAT 🔥', 'PIRRO : MARQUEZ HANCURKAN DUCATI ❌😱 TOPRAK SEGERA TEST M1 🔥']","[181491, 147515]","['https://www.youtube.com/watch?v=3TkAXe9CibU', 'https://www.youtube.com/watch?v=QoCBaCIIbN8']"
75,Ridwan Hanif,Otomotif,0.1408,77650,1537,146,43046.56,0.0313,3260000,"['TEST DRIVE SUZUKI FRONX! APAKAH WORTH IT?', 'BEGINI RASANYA DENZA D9 SI ALPHARD KILLER']","[237074, 230877]","['https://www.youtube.com/watch?v=o0JPkp7WHlA', 'https://www.youtube.com/watch?v=Su3zXZ2IHBU']"
76,Lonceng Mystery,Podcast,0.1362,142297,3578,383,124345.78,0.0291,762000,"['JAGA MALAM HOROR !! SECURITY KAMPUS ANGKER DI JAKARTA', 'HATI-HATI PILIH KOSAN !! DITEROR SETAN SAMPE NYAWA MELAYANG']","[241692, 215526]","['https://www.youtube.com/watch?v=hXLVcg7bdoM', 'https://www.youtube.com/watch?v=gOM53yiFYeQ']"
77,Podkesmas,Podcast,0.1359,291506,6895,406,238470.59,0.025,305000,"['SHOWKESMAS - KENAKALAN RADITYA DIKA TERLALU LIAR BUAT PODKESMAS!!!', 'SHOWKESMAS - KELIHATAN SANTAI, TAPI TERNYATA JEGEL OVERTHINKER BANGET!']","[1152366, 791393]","['https://www.youtube.com/watch?v=QE3hQx8Ov8s', 'https://www.youtube.com/watch?v=vHp324UKJOE']"
78,Timotius Mulyadi,Entertainment,0.1358,9365,182,10,292.41,0.0285,8160000,"['KEJEDOT LANTAI PAS UNDERWATER GAYA PUNGGUNG ?!😭🏊🏻\u200d♂️🤣', 'JAJAN PAKAI 100 BAHT DI BANGKOK THAILAND DAPET APA AJA? 🤤🇹🇭']","[29630, 13847]","['https://www.youtube.com/watch?v=nU5gSgfn5qY', 'https://www.youtube.com/watch?v=KeYN1-bdfB8']"
79,Putu Reza,Techno,0.1325,43602,795,145,10395.43,0.0322,582000,"['Samsung S25 Edge Baru 3 Bulan, Turun 5-7 Juta! Gak Laku??', 'OPPO RENO Gak Pernah Sebagus Ini - Review OPPO Reno 14 Pro 5G Indonesia']","[184788, 64782]","['https://www.youtube.com/watch?v=MEj6OXyyY_k', 'https://www.youtube.com/watch?v=D2TnIu3IQQE']"
80,Separuh Aku Lemak,Kuliner,0.1308,35664,854,18,4266.6,0.0311,1960000,"['MAKIN SUKSES!! DULU JUALAN SEBLAK DI BEDENK, SEKARANG JUALAN DI RUKO!! SEBLAK TEH SUSI MANTAP!', 'Mie Nyemek Stasiun Gondangdia, Jakarta Pusat']","[170247, 38454]","['https://www.youtube.com/watch?v=QnABJvOD49c', 'https://www.youtube.com/watch?v=36RLxL1TeVg']"
81,Pizza Gadget,Techno,0.1302,80151,1924,180,9366.1,0.0314,287000,"['Tablet yg Menang Banyak - Xiaomi Pad 7', 'Tablet 5 Jutaan yang Speknya Kelewat Mantap!! Xiaomi Pad 7 Review']","[303862, 181113]","['https://www.youtube.com/watch?v=C1J_FGpnsXE', 'https://www.youtube.com/watch?v=fEVHZy4V5ig']"
82,Den Dimas,Otomotif,0.1291,71718,1391,171,26328.14,0.0303,1110000,"['TERNYATA BUS ITU BOROS‼️ Mesin 12.000cc Tangki Solar 400 Liter 😱 Bahas Bus New Armada Sama Mas Arkan', 'JANGAN MAIN MIO, BIKIN SUSAH‼️ Mio Jumawa Rusak di Sunmori Jogja 😢']","[244304, 96734]","['https://www.youtube.com/watch?v=V5lf3Rn67Vw', 'https://www.youtube.com/watch?v=0FifHCZDy1A']"
83,Gofar Hilman,Podcast,0.1273,162146,3698,567,94317.63,0.0267,1500000,"['Grind Boys Eps.206 - ""Ada Longbo Nih""', 'Our Daily Mountain Life!']","[340049, 280649]","['https://www.youtube.com/watch?v=_TW5WP2PgvA', 'https://www.youtube.com/watch?v=nzLkEhF6LNE']"
84,Volix Media,Podcast,0.126,8758,219,9,1376.15,0.0312,503000,"['KETIKA BASKARA NGAJARIN ISYANA VELOCITY', 'SERING DIANGGAP LUCU, ISYANA SARASVATI JADI KEPIKIRAN SAMA EKSPEKTASI FANS | #VINIAR ']","[28067, 21587]","['https://www.youtube.com/watch?v=LIh4arAX1cs', 'https://www.youtube.com/watch?v=0eo0KOkzcoY']"
85,Om Mobi,Otomotif,0.1254,140854,2823,406,128115.18,0.0258,1500000,"['MOBIL-MOBIL TIDAK FAVORIT DI GIIAS 2025 | Ft: Fitra Eri', 'GIIAS 2025 paling meriah']","[462823, 189481]","['https://www.youtube.com/watch?v=ej5a7qRUenU', 'https://www.youtube.com/watch?v=a9a0XcT3qu8']"
86,"dr. Richard Lee, MARS",Podcast,0.1188,27578,432,206,15017.86,0.0253,5630000,"['UPDATE DATA TERBARU! SEBENTAR LAGI DOKTIF TERSANGKA ?!', 'PENJELASAN FILM MERAH PUTIH ONE FOR ALL! AKAN TAYANG TIAP TAHUN!!']","[163321, 51274]","['https://www.youtube.com/watch?v=4rRSj_kgdMM', 'https://www.youtube.com/watch?v=K6PnccNGMMk']"
87,Tema Indonesia,Podcast,0.1173,193331,5595,866,157954.82,0.0214,2590000,"['ANIES BASWEDAN ULTI THE DARKLORD❗🤣 SIAP MASUK NERAKA⁉️', 'COKI TAGIH PEMBUKTIAN ALIEN❓🤣GURU GEMBUL SEBUT ELON MUSK‼️']","[795652, 458155]","['https://www.youtube.com/watch?v=Hj9ih4Y3n8k', 'https://www.youtube.com/watch?v=hMxmgrnpzoQ']"
88,Dedi Nugroho,Techno,0.1172,1368,28,10,404.06,0.0294,6290,"['Cara Menghubungkan WhatsApp Ke n8n dengan WAHA | SumoPod + WAHA', 'Buat AI Agent Sendiri di n8n: Mudah & Cepat untuk Pemula!']","[2919, 2245]","['https://www.youtube.com/watch?v=TG47sgL7V-U', 'https://www.youtube.com/watch?v=ltFdILYkdz4']"
89,Bella Kuku Tanesia,Kuliner,0.1165,118066,2469,82,28099.8,0.0259,2140000,"['BAKSO MIE AYAM PUNYA CHEF ISMAYA TUMPAH SAMBEL SHELY CHE?!', 'LEGEND! 10TAHUN LANGGANAN PECEL AYAM SAMBEL SETAN TERENAK INI!']","[244282, 225578]","['https://www.youtube.com/watch?v=09fphwsZDwc', 'https://www.youtube.com/watch?v=ihUrNNdUEfU']"
90,Anak Kuliner,Kuliner,0.1157,145372,2924,341,23755.27,0.0256,1760000,"['ADIT COMEBACK REVIEW JULID MASAKAN MANADO PINKAN MAMBO!!', 'Masakan Manado Pinkan Mambo Super MAHAL!!']","[476905, 238362]","['https://www.youtube.com/watch?v=13FIz0cDavI', 'https://www.youtube.com/watch?v=R2wXoNqjuo0']"
91,Keysa Mahesa,Otomotif,0.1153,189879,3009,108,15549.96,0.0261,744000,"['Modif Tipis Aerox', 'aerox spek tapi ngelimit 🙄']","[945570, 451800]","['https://www.youtube.com/watch?v=1iiJfLnDFYk', 'https://www.youtube.com/watch?v=4BOQhJ-H7Xo']"
92,SISI TERANG,Edukasi,0.114,8868,100,10,21881.3,0.0211,10100000,"['Mengapa Australia Membangun Pagar yang Lebih Panjang dari Tembok Besar', 'Bagian Bumi yang Hilang Ditemukan Setelah 20 Juta Tahun!']","[27658, 15618]","['https://www.youtube.com/watch?v=70kKqaFYP_k', 'https://www.youtube.com/watch?v=dYM-oFPXTyk']"
93,kawan dapur,Kuliner,0.1126,22233,550,19,460.71,0.0272,1200000,"['soto semarang ayam banyak seporsi 7000 #food #foodie #kuliner #idejualan', 'sate aci keliling seporsi 5000 #food #foodie #kuliner #idejualan']","[38666, 38543]","['https://www.youtube.com/watch?v=Mv7m3kitMAI', 'https://www.youtube.com/watch?v=MTiHcwrC_Zg']"
94,Ruangguru Bimbel Terbesar No. 1 di Indonesia!,Edukasi,0.1116,3248,65,1,3353.4,0.0263,2410000,"['[LIVE] BIOLOGI SMA | Coaching Clinic National Round KSR 2025', '[LIVE] IPA SD UPPER | Coaching Clinic National Round KSR 2025']","[14355, 4408]","['https://www.youtube.com/watch?v=ZNyj9tXeHnU', 'https://www.youtube.com/watch?v=QSaByT3UQ8Y']"
95,Pan Channel,Techno,0.1107,9052,108,30,1583.27,0.0275,305000,"['SPEK PENGHANCUR PASAR‼️INFINIX NOTE 60 PRO - HP TERBUAS GACOR PARAH', 'NGILER PARAH‼️RAM 12/512GB + 7300mAh - HP BUAT JANGKA PANJANG TERBARU 2025']","[24158, 16458]","['https://www.youtube.com/watch?v=cRyPPieX7w0', 'https://www.youtube.com/watch?v=DjmOOSB7e-o']"
